Age,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,Attrition
37,Travel_Frequently,Research & Development,11,Other,2,Male,Research Director,4,Divorced,12185,1,Yes,3,10,1,3,8,No
38,Travel_Rarely,Sales,3,Life Sciences,1,Male,Sales Executive,3,Divorced,10609,0,No,3,17,6,2,10,No
31,Non-Travel,Research & Development,1,Medical,3,Male,Manufacturing Director,3,Married,4345,0,No,3,6,2,3,4,No
59,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Research Scientist,4,Married,2177,3,No,3,7,6,3,0,No
37,Travel_Frequently,Sales,4,Marketing,1,Male,Sales Representative,4,Divorced,2793,4,No,3,13,2,3,8,No
29,Travel_Frequently,Sales,1,Medical,2,Female,Sales Executive,4,Married,7918,1,No,3,11,5,3,10,No
35,Travel_Frequently,Sales,1,Marketing,3,Female,Sales Executive,3,Single,8789,1,No,3,10,3,4,7,No
29,Travel_Rarely,Research & Development,18,Medical,3,Male,Research Scientist,4,Single,2389,1,Yes,3,4,3,2,3,Yes
52,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,Laboratory Technician,4,Single,3212,7,No,3,6,3,2,2,No
42,Travel_Rarely,Research & Development,4,Technical Degree,3,Male,Manager,4,Married,19232,1,No,3,22,3,3,17,No
59,Travel_Rarely,Human Resources,6,Medical,2,Male,Human Resources,3,Married,2267,8,No,3,7,2,2,2,No
50,Travel_Rarely,Sales,1,Medical,4,Female,Manager,4,Divorced,19517,3,No,3,32,3,2,0,No
33,Travel_Rarely,Research & Development,14,Medical,3,Male,Laboratory Technician,4,Married,2436,5,Yes,3,8,2,1,4,Yes
43,Travel_Rarely,Sales,16,Marketing,4,Female,Manager,4,Married,16064,5,Yes,4,22,3,3,13,No
33,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,1,Married,2707,7,No,4,13,3,4,7,Yes
52,Non-Travel,Sales,2,Life Sciences,1,Male,Manager,3,Single,19068,1,Yes,3,33,2,4,7,No
32,Travel_Rarely,Sales,4,Life Sciences,3,Female,Sales Representative,2,Married,3931,2,No,3,6,5,3,3,No
32,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,3,Single,3730,0,Yes,3,4,2,1,2,Yes
39,Travel_Rarely,Research & Development,1,Medical,3,Female,Laboratory Technician,3,Divorced,2232,7,No,3,7,1,3,2,No
32,Non-Travel,Sales,26,Marketing,3,Male,Sales Executive,4,Married,4465,0,No,3,4,2,3,2,No
41,Travel_Rarely,Research & Development,19,Life Sciences,3,Male,Research Scientist,1,Divorced,3072,2,No,3,17,2,2,0,No
40,Travel_Rarely,Research & Development,24,Technical Degree,1,Male,Research Scientist,4,Divorced,3319,1,No,3,9,3,3,8,No
45,Travel_Rarely,Research & Development,1,Other,3,Male,Manager,4,Married,19202,0,No,3,25,2,3,0,No
31,Travel_Frequently,Research & Development,3,Medical,2,Male,Research Director,3,Divorced,13675,9,No,3,9,3,3,2,No
33,Travel_Rarely,Research & Development,5,Life Sciences,3,Female,Research Scientist,4,Married,2911,1,No,3,2,2,2,2,No
34,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,1,Married,5957,6,No,3,13,3,3,9,No
37,Travel_Rarely,Research & Development,1,Medical,3,Female,Research Scientist,1,Married,3920,2,No,3,17,2,2,1,No
45,Travel_Frequently,Research & Development,7,Life Sciences,1,Male,Manufacturing Director,3,Married,6434,4,No,3,9,1,3,2,No
37,Travel_Frequently,Research & Development,10,Medical,1,Male,Manufacturing Director,3,Divorced,10048,6,No,3,17,5,3,0,Yes
39,Travel_Frequently,Research & Development,2,Technical Degree,3,Female,Healthcare Representative,3,Single,10938,0,No,4,20,1,3,6,No
29,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,Research Scientist,4,Single,2340,1,No,3,6,1,3,5,No
42,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,Research Scientist,1,Single,6545,3,Yes,3,10,1,3,2,No
29,Travel_Rarely,Sales,20,Marketing,4,Male,Sales Executive,4,Divorced,6931,2,No,3,10,2,3,2,No
25,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,Manufacturing Director,3,Married,4898,0,No,3,5,3,3,2,No
42,Travel_Rarely,Research & Development,2,Medical,4,Female,Laboratory Technician,1,Divorced,2593,0,Yes,3,10,4,3,6,No
40,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Director,3,Divorced,19436,0,No,3,22,5,3,7,No
51,Travel_Rarely,Research & Development,1,Life Sciences,3,Male,Research Scientist,4,Married,2723,1,No,3,1,0,2,0,No
31,Travel_Frequently,Research & Development,29,Medical,3,Male,Laboratory Technician,2,Single,3479,0,No,3,6,2,4,4,Yes
32,Travel_Frequently,Research & Development,7,Life Sciences,2,Male,Laboratory Technician,2,Married,2794,1,No,4,5,3,1,1,No
38,Non-Travel,Sales,2,Life Sciences,4,Male,Sales Executive,4,Married,5249,3,No,3,13,0,3,7,No
32,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,Laboratory Technician,1,Single,2176,4,No,3,9,5,3,2,No
46,Travel_Rarely,Sales,2,Technical Degree,3,Female,Manager,2,Married,16872,3,Yes,3,28,2,2,7,No
28,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,Laboratory Technician,3,Single,3485,2,No,3,5,5,1,0,Yes
29,Travel_Rarely,Sales,2,Medical,1,Male,Sales Executive,2,Married,6644,2,No,3,10,2,3,0,No
31,Travel_Rarely,Research & Development,23,Medical,2,Male,Healthcare Representative,4,Married,5582,0,No,4,10,2,3,0,No
25,Non-Travel,Research & Development,5,Life Sciences,2,Male,Healthcare Representative,1,Divorced,4000,1,No,3,6,2,3,3,No
45,Travel_Rarely,Research & Development,20,Medical,3,Male,Healthcare Representative,4,Married,13496,0,Yes,3,21,2,3,7,No
36,Travel_Rarely,Research & Development,6,Life Sciences,4,Male,Laboratory Technician,4,Married,3210,0,No,3,16,4,3,13,No
55,Travel_Rarely,Research & Development,1,Medical,4,Male,Manager,1,Single,19045,0,Yes,3,37,2,3,10,No
47,Non-Travel,Research & Development,29,Life Sciences,1,Male,Manager,2,Married,11849,1,Yes,3,10,2,2,7,Yes
28,Travel_Rarely,Research & Development,9,Medical,4,Male,Research Scientist,4,Married,2070,1,No,4,5,3,2,2,No
37,Travel_Rarely,Sales,6,Medical,3,Male,Sales Executive,4,Married,6502,4,No,3,7,5,4,4,No
21,Travel_Rarely,Research & Development,3,Medical,4,Male,Research Scientist,3,Single,3230,1,No,3,3,4,4,2,No
37,Non-Travel,Research & Development,1,Medical,1,Female,Research Director,4,Divorced,13603,2,Yes,3,15,2,3,2,No
35,Travel_Rarely,Research & Development,22,Life Sciences,2,Female,Manager,2,Divorced,11996,7,No,3,10,6,2,7,No
38,Travel_Rarely,Sales,7,Medical,1,Female,Sales Executive,1,Divorced,5605,1,Yes,4,8,3,3,0,No
26,Travel_Frequently,Research & Development,1,Life Sciences,3,Female,Manufacturing Director,2,Divorced,6397,1,No,4,6,6,1,5,No
50,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,Research Director,2,Divorced,19144,3,No,3,28,4,2,4,No
53,Travel_Rarely,Research & Development,3,Medical,3,Male,Research Director,3,Married,17584,3,Yes,3,21,5,2,3,No
42,Travel_Rarely,Sales,1,Life Sciences,2,Male,Sales Executive,3,Married,4907,1,No,4,20,3,3,16,No
29,Travel_Frequently,Sales,2,Life Sciences,2,Male,Sales Executive,4,Single,4554,1,No,3,10,3,2,7,No
55,Travel_Rarely,Research & Development,20,Technical Degree,2,Male,Laboratory Technician,4,Married,5415,3,Yes,3,12,4,3,7,No
26,Travel_Frequently,Research & Development,11,Medical,1,Male,Healthcare Representative,1,Married,4741,1,Yes,3,5,3,3,3,No
37,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,Research Scientist,4,Single,2115,1,No,3,17,3,3,12,No
44,Travel_Frequently,Research & Development,24,Life Sciences,4,Male,Laboratory Technician,3,Divorced,3161,3,Yes,4,19,0,1,0,Yes
38,Travel_Rarely,Research & Development,23,Life Sciences,4,Male,Healthcare Representative,4,Divorced,5745,9,No,3,10,2,3,2,No
26,Travel_Rarely,Research & Development,16,Medical,1,Male,Laboratory Technician,2,Divorced,2373,2,Yes,3,5,2,3,2,Yes
28,Travel_Rarely,Research & Development,8,Life Sciences,4,Female,Research Scientist,4,Single,3310,1,No,4,5,3,3,3,No
49,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Research Director,1,Single,18665,9,Yes,3,22,4,3,2,No
36,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,Research Scientist,2,Single,4485,4,No,3,10,2,3,0,No
31,Travel_Frequently,Sales,5,Marketing,4,Female,Sales Representative,2,Divorced,2789,1,No,3,2,5,2,2,No
26,Travel_Rarely,Sales,4,Marketing,4,Male,Sales Executive,4,Single,5828,1,Yes,3,8,0,3,7,Yes
37,Travel_Frequently,Research & Development,9,Medical,2,Male,Research Scientist,4,Married,2326,1,Yes,3,4,3,2,2,No
42,Travel_Frequently,Sales,26,Marketing,3,Female,Sales Executive,2,Married,13525,5,No,3,23,2,4,4,No
18,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Laboratory Technician,3,Single,1420,1,No,3,0,2,3,0,Yes
35,Travel_Rarely,Sales,16,Marketing,3,Male,Sales Executive,2,Married,8020,0,No,3,12,3,2,9,No
36,Travel_Frequently,Research & Development,18,Life Sciences,3,Male,Laboratory Technician,4,Married,3688,4,No,3,4,2,3,0,No
51,Travel_Rarely,Research & Development,2,Medical,4,Male,Manufacturing Director,2,Divorced,5482,5,No,3,13,3,3,1,No
41,Travel_Rarely,Sales,2,Life Sciences,4,Male,Manager,2,Single,16015,1,No,3,22,2,3,10,No
18,Travel_Rarely,Sales,10,Medical,4,Female,Sales Representative,3,Single,1200,1,No,3,0,2,3,0,No
28,Travel_Rarely,Research & Development,16,Medical,2,Male,Healthcare Representative,1,Single,5661,0,No,3,9,2,3,3,No
31,Travel_Rarely,Sales,7,Technical Degree,2,Male,Sales Executive,4,Married,6929,4,No,3,10,3,2,7,No
39,Travel_Rarely,Research & Development,1,Medical,3,Male,Healthcare Representative,4,Divorced,9613,0,No,3,19,5,2,10,No
36,Non-Travel,Research & Development,24,Life Sciences,2,Female,Laboratory Technician,2,Married,5674,7,No,3,11,3,3,8,No
32,Travel_Rarely,Sales,7,Life Sciences,4,Male,Sales Executive,3,Married,5484,1,No,3,13,3,2,8,No
38,Travel_Rarely,Research & Development,25,Life Sciences,1,Female,Research Director,2,Married,12061,3,No,3,19,2,3,8,No
58,Non-Travel,Research & Development,1,Life Sciences,4,Male,Healthcare Representative,3,Divorced,5660,2,Yes,3,12,2,3,3,No
31,Travel_Rarely,Research & Development,5,Technical Degree,3,Male,Research Scientist,4,Married,4821,0,Yes,3,6,4,3,2,No
31,Travel_Rarely,Human Resources,2,Human Resources,1,Male,Human Resources,1,Married,6410,3,No,3,9,1,3,2,No
45,Travel_Frequently,Research & Development,7,Life Sciences,1,Male,Laboratory Technician,1,Divorced,5210,1,No,3,24,2,3,9,No
31,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,4,Divorced,2695,0,Yes,3,3,2,1,2,No
33,Travel_Frequently,Research & Development,5,Life Sciences,4,Female,Manager,2,Married,11878,6,No,3,12,2,3,6,No
39,Travel_Rarely,Research & Development,10,Medical,3,Male,Manager,1,Married,17068,1,Yes,3,21,3,3,9,No
43,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Laboratory Technician,4,Single,2455,0,No,3,9,5,3,7,No
49,Travel_Rarely,Research & Development,1,Technical Degree,3,Female,Healthcare Representative,3,Single,13964,7,Yes,3,25,2,3,1,No
52,Travel_Rarely,Research & Development,8,Medical,3,Male,Research Scientist,2,Married,4941,2,No,3,11,3,2,2,Yes
27,Travel_Rarely,Research & Development,5,Life Sciences,3,Female,Research Scientist,2,Single,2478,1,Yes,3,4,2,2,3,No
32,Travel_Rarely,Sales,8,Technical Degree,3,Female,Sales Executive,2,Married,5228,1,Yes,3,13,2,3,12,No
27,Travel_Rarely,Sales,2,Life Sciences,4,Male,Sales Executive,3,Single,4478,1,Yes,3,5,3,3,4,No
31,Travel_Rarely,Sales,7,Marketing,4,Male,Sales Executive,4,Divorced,7547,4,No,3,13,3,3,7,No
32,Travel_Rarely,Research & Development,2,Medical,1,Female,Research Scientist,4,Single,5055,7,No,3,10,0,2,7,No
28,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Scientist,4,Married,3464,5,Yes,3,5,4,2,2,Yes
30,Travel_Rarely,Research & Development,28,Medical,4,Female,Research Scientist,4,Married,5775,1,No,3,11,2,3,8,No
31,Travel_Frequently,Research & Development,7,Life Sciences,3,Female,Manufacturing Director,3,Married,8943,1,No,4,10,2,3,9,No
39,Travel_Frequently,Research & Development,7,Medical,3,Male,Manager,4,Married,19272,1,No,3,21,2,3,9,No
39,Travel_Rarely,Sales,3,Medical,4,Female,Sales Executive,3,Married,5238,4,Yes,3,12,3,2,0,Yes
33,Travel_Frequently,Sales,10,Marketing,2,Male,Sales Executive,4,Single,4682,3,No,3,9,6,2,7,No
47,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,Research Director,3,Married,18300,4,No,3,21,2,3,2,No
43,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Laboratory Technician,3,Divorced,5257,1,No,3,9,3,4,7,No
27,Non-Travel,Sales,1,Marketing,3,Male,Sales Executive,2,Married,6349,0,Yes,3,6,0,3,4,No
54,Travel_Frequently,Research & Development,20,Life Sciences,4,Female,Research Scientist,3,Single,4869,3,No,3,20,4,2,3,No
43,Travel_Rarely,Research & Development,7,Life Sciences,3,Female,Healthcare Representative,1,Married,9985,8,No,3,10,1,2,0,No
45,Travel_Rarely,Research & Development,8,Other,4,Male,Research Scientist,4,Married,3697,9,No,3,12,3,3,9,No
40,Travel_Rarely,Sales,1,Medical,2,Male,Sales Executive,4,Married,7457,2,Yes,4,6,2,2,3,No
29,Travel_Rarely,Research & Development,8,Other,2,Male,Laboratory Technician,1,Married,2119,1,Yes,3,7,4,2,7,Yes
29,Travel_Rarely,Research & Development,9,Other,2,Male,Laboratory Technician,4,Single,3983,0,No,3,4,2,3,2,No
30,Travel_Rarely,Sales,5,Marketing,4,Female,Sales Executive,3,Divorced,6118,1,No,3,10,2,3,9,No
27,Travel_Rarely,Sales,8,Marketing,2,Female,Sales Executive,2,Married,6214,1,No,3,8,3,3,7,No
37,Travel_Rarely,Research & Development,5,Medical,4,Male,Manufacturing Director,4,Divorced,6347,7,No,3,8,2,2,2,No
38,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,Research Director,4,Divorced,11510,0,Yes,3,12,3,3,10,No
31,Travel_Rarely,Research & Development,7,Medical,3,Female,Manufacturing Director,4,Single,7143,1,Yes,3,11,2,2,9,No
29,Travel_Rarely,Sales,10,Marketing,4,Female,Sales Executive,2,Divorced,8268,1,Yes,3,7,2,3,7,No
35,Travel_Rarely,Research & Development,5,Technical Degree,3,Male,Manufacturing Director,2,Single,8095,0,No,3,17,5,3,6,No
23,Travel_Rarely,Research & Development,26,Life Sciences,3,Male,Research Scientist,4,Divorced,2904,1,No,3,4,2,2,2,No
41,Travel_Rarely,Research & Development,6,Medical,4,Male,Manufacturing Director,2,Single,6032,6,Yes,3,8,3,3,4,No
47,Travel_Frequently,Sales,4,Medical,2,Male,Sales Representative,3,Single,2976,3,No,3,5,3,3,0,No
42,Travel_Rarely,Research & Development,23,Life Sciences,1,Female,Research Director,4,Single,15992,2,No,3,16,2,3,0,No
29,Non-Travel,Sales,2,Life Sciences,4,Male,Sales Executive,3,Married,4649,1,No,3,4,3,2,3,No
42,Travel_Rarely,Human Resources,2,Technical Degree,3,Male,Human Resources,3,Divorced,2696,0,Yes,3,4,5,3,2,No
32,Travel_Rarely,Research & Development,2,Medical,3,Female,Laboratory Technician,2,Married,2370,1,No,3,8,4,3,0,No
48,Travel_Rarely,Sales,29,Medical,1,Female,Manager,3,Married,12504,3,No,4,15,3,1,0,No
37,Travel_Rarely,Research & Development,6,Medical,3,Male,Research Scientist,1,Divorced,5974,4,Yes,3,13,2,3,7,No
30,Non-Travel,Sales,25,Technical Degree,4,Female,Sales Executive,3,Married,4736,7,Yes,3,4,2,4,2,No
26,Travel_Rarely,Sales,1,Life Sciences,3,Male,Sales Executive,3,Married,5296,1,No,3,8,3,3,7,No
42,Travel_Rarely,Research & Development,2,Other,1,Male,Healthcare Representative,4,Single,6781,3,No,4,14,6,3,0,No
21,Travel_Frequently,Sales,1,Technical Degree,1,Female,Sales Representative,2,Single,2174,1,Yes,3,3,3,3,2,Yes
36,Non-Travel,Sales,1,Medical,4,Female,Sales Executive,4,Single,6653,4,No,3,7,6,3,0,No
36,Travel_Frequently,Sales,3,Medical,1,Male,Sales Executive,4,Married,9699,4,No,3,16,2,3,9,No
57,Travel_Rarely,Research & Development,1,Medical,4,Male,Healthcare Representative,3,Married,6755,2,No,3,15,2,3,2,No
40,Travel_Rarely,Research & Development,10,Life Sciences,4,Female,Laboratory Technician,3,Married,2213,3,Yes,3,10,3,3,7,No
21,Non-Travel,Sales,9,Medical,1,Male,Sales Representative,4,Single,2610,1,No,4,3,3,2,2,No
33,Travel_Rarely,Sales,5,Marketing,4,Female,Sales Representative,3,Single,2851,1,Yes,3,1,2,3,0,Yes
37,Travel_Rarely,Research & Development,10,Medical,3,Female,Laboratory Technician,1,Married,3452,6,No,4,17,3,3,4,No
46,Non-Travel,Research & Development,7,Medical,3,Female,Manufacturing Director,3,Married,5258,2,No,3,7,2,4,0,No
41,Travel_Frequently,Sales,4,Marketing,1,Male,Sales Executive,2,Single,9355,1,No,3,8,5,3,7,Yes
50,Travel_Rarely,Research & Development,10,Technical Degree,4,Male,Healthcare Representative,4,Single,10496,6,No,3,20,2,3,3,No
40,Travel_Rarely,Sales,22,Marketing,3,Male,Sales Executive,3,Married,6380,2,Yes,3,8,6,3,4,Yes
31,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Research Scientist,2,Single,2657,0,Yes,3,3,5,3,2,No
21,Travel_Rarely,Sales,12,Life Sciences,3,Female,Sales Representative,2,Single,2716,1,No,3,1,0,3,0,Yes
29,Travel_Rarely,Research & Development,23,Life Sciences,4,Male,Research Scientist,4,Single,2201,9,No,3,6,4,3,2,No
35,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Healthcare Representative,2,Single,6540,9,No,3,10,5,3,1,No
27,Travel_Rarely,Research & Development,1,Medical,4,Male,Laboratory Technician,2,Divorced,3816,1,No,3,5,2,3,2,No
28,Travel_Rarely,Sales,9,Life Sciences,2,Male,Sales Executive,4,Single,5253,1,No,3,7,1,3,5,No
49,Travel_Rarely,Research & Development,7,Other,2,Male,Healthcare Representative,3,Single,10965,8,No,4,26,2,3,2,No
51,Travel_Rarely,Sales,14,Life Sciences,3,Female,Sales Executive,4,Married,4936,4,No,3,18,2,2,7,No
36,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,Research Scientist,3,Married,2543,4,No,3,6,3,3,2,No
34,Non-Travel,Sales,19,Marketing,1,Male,Sales Executive,4,Single,5304,8,Yes,3,9,3,2,2,Yes
55,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,Manager,4,Single,16659,2,Yes,3,30,2,3,4,No
24,Travel_Rarely,Sales,10,Marketing,4,Female,Sales Executive,3,Divorced,4260,1,Yes,3,5,2,4,2,No
30,Travel_Rarely,Sales,2,Technical Degree,3,Male,Sales Representative,2,Married,2476,1,No,3,1,3,3,0,No
26,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,Research Scientist,1,Single,3102,0,No,4,7,2,3,4,Yes
22,Travel_Rarely,Research & Development,11,Medical,1,Female,Research Scientist,2,Married,2244,1,No,3,2,1,3,1,No
36,Travel_Rarely,Sales,2,Medical,2,Male,Sales Executive,3,Married,7596,1,No,3,10,2,3,9,No
30,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,Research Scientist,4,Single,2285,9,Yes,4,3,4,3,0,Yes
37,Travel_Rarely,Research & Development,14,Life Sciences,4,Female,Laboratory Technician,1,Divorced,3034,1,No,3,18,2,2,7,No
40,Travel_Rarely,Sales,2,Marketing,4,Female,Sales Executive,2,Divorced,5715,7,No,3,8,5,3,4,No
42,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,Laboratory Technician,1,Divorced,2576,3,No,3,8,5,3,2,No
37,Travel_Rarely,Research & Development,10,Life Sciences,3,Male,Manufacturing Director,2,Single,4197,2,Yes,3,18,2,2,0,No
43,Travel_Rarely,Research & Development,12,Life Sciences,1,Male,Research Director,2,Divorced,14336,1,No,3,25,3,3,10,No
40,Travel_Rarely,Research & Development,2,Medical,2,Female,Laboratory Technician,3,Married,3448,6,No,4,20,3,3,0,No
54,Travel_Rarely,Research & Development,5,Medical,1,Male,Research Director,1,Married,19406,4,No,3,24,4,2,2,No
34,Non-Travel,Sales,4,Marketing,3,Female,Sales Executive,3,Married,6538,9,No,3,6,3,3,2,No
31,Travel_Rarely,Research & Development,7,Medical,2,Female,Manufacturing Director,1,Married,4306,1,No,3,13,5,1,10,No
43,Travel_Frequently,Research & Development,21,Medical,4,Male,Laboratory Technician,4,Married,2258,7,No,4,8,1,3,2,No
43,Travel_Rarely,Research & Development,8,Other,3,Female,Healthcare Representative,3,Divorced,4522,4,Yes,3,8,3,3,2,No
25,Travel_Rarely,Sales,4,Life Sciences,2,Female,Sales Executive,4,Single,4487,1,Yes,3,5,3,3,4,No
37,Non-Travel,Research & Development,25,Medical,2,Female,Research Scientist,3,Married,4449,3,Yes,3,15,2,3,11,No
31,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,1,Married,2218,1,No,3,4,3,3,2,No
39,Travel_Frequently,Research & Development,1,Life Sciences,2,Male,Manager,3,Divorced,19197,1,Yes,3,21,3,3,8,No
56,Travel_Frequently,Sales,6,Life Sciences,3,Female,Sales Executive,1,Married,13212,9,No,3,36,0,2,7,No
30,Travel_Rarely,Sales,12,Technical Degree,2,Female,Sales Executive,3,Single,6577,0,No,3,6,6,3,4,No
41,Travel_Rarely,Sales,1,Marketing,2,Male,Sales Executive,1,Married,8392,1,No,3,10,2,3,7,No
28,Travel_Rarely,Research & Development,17,Medical,3,Male,Laboratory Technician,1,Divorced,4558,1,No,3,10,2,3,0,No
25,Travel_Rarely,Research & Development,3,Medical,1,Male,Laboratory Technician,1,Married,4031,5,No,3,6,5,3,2,Yes
52,Travel_Rarely,Research & Development,3,Medical,4,Male,Manufacturing Director,3,Married,7969,2,Yes,3,28,4,3,4,No
45,Travel_Rarely,Research & Development,10,Life Sciences,1,Male,Research Scientist,4,Married,2654,3,No,4,8,3,2,2,No
52,Travel_Rarely,Research & Development,4,Life Sciences,4,Female,Manager,4,Married,16555,2,No,3,31,2,1,2,No
42,Travel_Frequently,Research & Development,29,Life Sciences,1,Female,Research Scientist,3,Divorced,4556,2,No,3,19,3,3,4,No
30,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,Manufacturing Director,4,Single,6091,2,No,4,11,2,3,4,No
60,Travel_Rarely,Research & Development,7,Life Sciences,1,Female,Manager,1,Married,19566,5,No,3,33,5,1,8,No
46,Travel_Rarely,Research & Development,18,Medical,3,Female,Manufacturing Director,3,Divorced,4810,2,No,3,19,5,2,7,No
42,Travel_Frequently,Research & Development,28,Technical Degree,4,Female,Healthcare Representative,4,Married,4523,0,No,3,7,4,4,5,No
24,Travel_Rarely,Sales,1,Technical Degree,1,Female,Sales Representative,2,Single,3202,1,Yes,3,6,4,3,3,Yes
34,Travel_Frequently,Sales,6,Marketing,4,Female,Sales Representative,3,Divorced,2351,0,No,3,3,3,2,2,Yes
38,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Laboratory Technician,4,Married,1702,1,Yes,4,1,3,3,0,No
40,Travel_Rarely,Sales,2,Life Sciences,3,Female,Manager,3,Married,18041,0,No,3,21,2,3,15,No
26,Travel_Rarely,Research & Development,23,Life Sciences,1,Female,Research Scientist,4,Divorced,2886,1,No,4,3,3,1,2,No
30,Non-Travel,Research & Development,3,Life Sciences,3,Male,Laboratory Technician,4,Married,2097,4,No,3,9,3,1,3,No
29,Travel_Rarely,Research & Development,3,Medical,2,Male,Research Director,3,Married,11935,1,No,3,10,2,3,2,No
29,Travel_Rarely,Research & Development,25,Technical Degree,3,Female,Research Scientist,2,Married,2546,5,No,3,6,2,4,2,Yes
19,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,Human Resources,4,Single,2564,1,No,3,1,3,4,0,Yes
30,Non-Travel,Sales,22,Other,3,Female,Sales Executive,1,Married,8412,0,No,3,10,3,3,8,No
57,Travel_Rarely,Sales,29,Marketing,1,Male,Manager,4,Divorced,14118,3,No,3,32,3,2,0,No
50,Travel_Rarely,Research & Development,29,Life Sciences,2,Male,Manager,3,Married,17046,0,No,3,28,2,3,10,No
30,Non-Travel,Research & Development,2,Medical,3,Female,Laboratory Technician,4,Single,2564,0,No,3,12,2,2,7,No
60,Travel_Frequently,Sales,28,Marketing,3,Female,Sales Executive,1,Married,10266,4,No,3,22,5,4,13,No
47,Travel_Rarely,Research & Development,2,Medical,1,Female,Manufacturing Director,4,Divorced,5070,5,No,3,20,2,3,0,No
46,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,Research Director,3,Married,17861,6,No,3,26,2,1,2,No
35,Travel_Rarely,Research & Development,22,Life Sciences,4,Male,Laboratory Technician,3,Single,4230,0,No,3,6,2,3,4,No
54,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Laboratory Technician,3,Single,3780,7,No,3,19,3,3,0,No
34,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Research Scientist,3,Divorced,2768,3,No,3,14,3,3,3,No
46,Travel_Rarely,Sales,10,Marketing,3,Female,Sales Executive,4,Married,9071,2,Yes,3,15,3,3,2,No
31,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Manufacturing Director,2,Divorced,10648,1,No,4,13,6,4,8,No
33,Travel_Rarely,Research & Development,15,Medical,2,Male,Manager,3,Married,13610,7,Yes,3,15,2,4,6,Yes
33,Travel_Rarely,Research & Development,10,Medical,1,Male,Laboratory Technician,4,Divorced,3408,7,No,3,8,2,3,3,Yes
30,Travel_Rarely,Sales,7,Marketing,4,Male,Sales Representative,2,Single,2983,0,No,3,4,3,3,2,No
35,Travel_Rarely,Research & Development,16,Life Sciences,4,Male,Healthcare Representative,3,Married,7632,4,Yes,3,10,2,3,7,No
31,Travel_Frequently,Research & Development,20,Life Sciences,1,Male,Healthcare Representative,3,Married,9824,3,No,3,12,2,3,0,Yes
34,Travel_Frequently,Human Resources,23,Human Resources,2,Female,Human Resources,1,Divorced,9950,9,Yes,3,11,2,3,2,Yes
42,Travel_Frequently,Research & Development,5,Other,2,Male,Laboratory Technician,3,Married,2093,4,No,3,8,4,3,2,No
36,Non-Travel,Sales,10,Medical,2,Male,Sales Executive,4,Single,9980,1,No,3,10,3,2,3,No
22,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,Laboratory Technician,3,Single,3894,5,No,3,4,3,3,2,Yes
48,Travel_Rarely,Sales,2,Marketing,2,Female,Sales Executive,4,Married,4051,2,No,3,14,2,3,7,No
55,Travel_Rarely,Sales,18,Life Sciences,1,Female,Manager,2,Single,16835,3,No,4,37,2,3,9,No
41,Non-Travel,Sales,10,Life Sciences,4,Male,Sales Executive,4,Single,6230,7,No,3,16,3,3,3,No
